"name"
"Sand"
"Loamy Sand" 
"Clay Sand" 
"Sandy Loam" 
"Fine Sandy Loam" 
"Loam" 
"Silty Loam" 
"Sandy Clay Loam" 
"Clay Loam" 
"Clay" 
"Gravel" 
"Other" 
"Fine Sandy Clay" 
"Medium Sandy Clay Loam" 
"Fine Sandy Clay Loam" 
"Loamy Medium Sand" 
"Medium Sandy Loam" 
"Coarse Sandy Clay Loam" 
"Coarse Sand" 
"Loamy Fine Sand" 
"Loamy Coarse Sand" 
"Fine Sand" 
"Silty Clay" 
"Coarse Sandy Loam" 
"Medium Sand" 
"Medium Sandy Clay" 
"Coarse Sandy Clay" 
"Sandy Clay"
