country,size_km2,default_zoom_scale,location,currency,currency_code,font_code2000,font_arial_unicode_ms,unicode_decimal,unicode_hex
Paraguay,406750,6,POINT (-58.400137032 -23.228239132),Guarani,PYG,Gs,Gs,"71, 115","47, 73"
Peru,1285220,6,POINT (-74.382426851 -9.15280381329),Sol,PEN,S/.,S/.,"83, 47, 46","53, 2f, 2e"
Philippines,300000,6,POINT (122.883932529 11.7753677809),Piso,PHP,₱,₱,8369,20b1
Poland,312685,6,POINT (19.3901283493 52.1275956442),Zloty,PLN,zł,zł,"122, 322","7a, 142"
Qatar,11437,6,POINT (51.1847963212 25.3060118763),Riyal,QAR,﷼,﷼,65020,fdfc
Romania,238391,6,POINT (24.9729303933 45.8524312742),Leu,RON,lei,lei,"108, 101, 105","6c, 65, 69"
Russia,17098246,6,POINT (96.6865611231 61.9805220919),Ruble,RUB,₽,₽,8381,20bd
Saint Helena,,6,POINT (-9.5477941587 -12.4035595078),Pound,SHP,£,£,163,a3
Saudi Arabia,2149690,6,POINT (44.5368627114 24.1224584073),Riyal,SAR,﷼,﷼,65020,fdfc
Serbia,88361,6,POINT (20.7895833363 44.2215031993),Dinar,RSD,Дин.,Дин.,"1044, 1080, 1085, 46","414, 438, 43d, 2e"
Seychelles,455,6,POINT (55.4760327912 -4.66099093522),Rupee,SCR,₨,₨,8360,20a8
Singapore,692.7,6,POINT (103.81725592 1.35876087075),Dollar,SGD,$,$,36,24
Solomon Islands,28450,6,POINT (159.632876678 -8.92178021692),Dollar,SBD,$,$,36,24
Somalia,637657,6,POINT (45.7071448699 4.75062876055),Shilling,SOS,S,S,83,53
South Africa,1219912,5.1,POINT (25.0839009251 -29.0003409534),Rand,ZAR,R,R,82,52
Sri Lanka,65611,6,POINT (80.7010823782 7.61266509224),Rupee,LKR,₨,₨,8360,20a8
Sweden,449964,6,POINT (16.7455804869 62.7796651931),Krona,SEK,kr,kr,"107, 114","6b, 72"
Switzerland,41210,6,POINT (8.20867470615 46.7978587836),Franc,CHF,CHF,CHF,"67, 72, 70","43, 48, 46"
Suriname,163270,6,POINT (-55.9123456951 4.1305541299),Dollar,SRD,$,$,36,24
Syria,185180,6,POINT (38.5078820425 35.025473894),Pound,SYP,£,£,163,a3
Taiwan,,6,POINT (120.954272814 23.753992795),New Dollar,TWD,NT$,NT$,"78, 84, 36","4e, 54, 24"
Thailand,514000,6,POINT (101.002881304 15.1181579418),Baht,THB,฿,฿,3647,e3f
Trinidad and Tobago,5128,6,POINT (-61.2656792335 10.457334081),Dollar,TTD,TT$,TT$,"84, 84, 36","54, 54, 24"
Turkey,780580,6,POINT (35.1689534649 39.0616029013),Lira,TRY,,,,
Ukraine,603628,6,POINT (31.3832646865 48.9965667265),Hryvnia,UAH,₴,₴,8372,20b4
United Kingdom,243610,6,POINT (-2.86563164084 54.1238715577),Pound,GBP,£,£,163,a3
United States,9525067,6,POINT (-112.4616737 45.6795472026),Dollar,USD,$,$,36,24
Uruguay,176220,6,POINT (-56.0180705315 -32.7995153444),Peso,UYU,$U,$U,"36, 85","24, 55"
Uzbekistan,447400,6,POINT (63.1400152805 41.7555422527),Som,UZS,лв,лв,"1083, 1074","43b, 432"
Venezuela,912050,6,POINT (-66.1818412311 7.12422421273),Bolívar,VEF,Bs,Bs,"66, 115","42, 73"
Viet Nam,329560,6,POINT (106.299146978 16.6460167019),Dong,VND,₫,₫,8363,20ab
Yemen,527970,6,POINT (47.5867618877 15.9092800505),Rial,YER,﷼,﷼,65020,fdfc
Zimbabwe,390580,6,POINT (29.8514412019 -19.0042041882),Dollar,ZWD,Z$,Z$,"90, 36","5a, 24"
